item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
237,SI,VIGENTE,TRÁNSITO RESTRINGIDO,14/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAHUAMANU/TAHUAMANU,KM 549,(SECTOR ALERTA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.665167,-69.229412,-11.665167+-69.229412,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
250,SI,VIGENTE,TRÁNSITO RESTRINGIDO,06/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
155,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/01/2023,28/01/2023 10:30 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 199,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.873069617394,-72.692213162262,-12.873069617394+-72.692213162262,2023 10:30 HORAS+01+28+10:30,0,0,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
147,SI,VIGENTE,TRÁNSITO RESTRINGIDO,10/01/2023,28/01/2023 10:30 HORAS,CUSCO/ESPINAR/ESPINAR,KM 245,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.794379646982,-71.409019289269,-14.794379646982+-71.409019289269,2023 10:30 HORAS+01+28+10:30,0,0,COE-MTC,HUMANO,PE-3SG,CARRETERA CHALHUAHUACHO - ESPINAR - AYAVIRI,SI,restringido
213,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,28/01/2023,28/01/2023 10:30 HORAS,JUNIN/YAULI/MOROCOCHA,KM 140,(ENTRADA A LA MINERA DUVAS) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.59928542,-76.13262251,-11.59928542+-76.13262251,2023 10:30 HORAS+01+28+10:30,0,13,SUTRAN UD LIMA BASE MATUCANA,HUMANO,PE-22,CARRETERA CENTRAL,SI,interrumpido
214,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,26/01/2023,28/01/2023 10:30 HORAS,JUNIN/YAULI/MOROCOCHA,KM 143 AL 145,"PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO  (PRODUCTO DEL BLOQUEO DE VIA, LA CONGESTION VEHICULAR ES HASTA KM 129)",-11.6007515,-76.1082612,-11.6007515+-76.1082612,2023 10:30 HORAS+01+28+10:30,35,65,SUTRAN UD LIMA BASE MATUCANA,HUMANO,PE-22,CARRETERA CENTRAL,SI,interrumpido
232,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,28/01/2023 10:30 HORAS,LIMA/LIMA/CHACLACAYO,KM 27,SE INFORMA QUE LA PNP ESTA DETENIENDO A LOS VEHICULOS PARA EVITAR QUE SE CONGESTIONE LA VIA DEBIDO AL BLOQUEO OCURRIDO EN EL KM 138 EN MOROCOCHA,-11.968796,-76.748224,-11.968796+-76.748224,2023 10:30 HORAS+01+28+10:30,0,15,COMISARIA PNP CHACLACAYO,HUMANO,PE-22,CARRETERA CENTRAL,SI,interrumpido
252,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 425-426,(PUERTO MALDONADO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.5905762,-69.2221768,-12.5905762+-69.2221768,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
244,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,23/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+900,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.759719,-69.561868,-12.759719+-69.561868,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
243,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+200,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.7637802,-69.5700566,-12.7637802+-69.5700566,2023 10:30 HORAS+01+28+10:30,2,4,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
